TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
14.09,Debit,ATM,70.0,Doctor,81.0,1.0,5112.21,1
376.24,Debit,ATM,68.0,Doctor,141.0,1.0,13758.91,1
126.29,Debit,Online,19.0,Student,56.0,1.0,1122.35,0
184.5,Debit,Online,26.0,Student,25.000000000000004,1.0,8569.06,0
13.45,Credit,Online,26.0,Student,198.0,1.0,7429.4,0
92.15,Debit,ATM,18.0,Student,172.0,1.0,781.68,0
7.08,Credit,ATM,37.0,Doctor,139.0,1.0,13316.71,1
171.42,Credit,Branch,67.0,Retired,291.0,1.0,2796.24,1
106.23,Credit,Branch,51.0,Engineer,86.0,1.0,9095.14,1
815.96,Debit,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,1
17.78,Credit,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,1
190.02,Debit,Online,21.0,Student,173.0,1.0,1528.81,0
494.52,Credit,Branch,24.0,Student,111.0,1.0,1620.02,0
781.76,Debit,ATM,26.0,Student,123.0,1.0,189.69,0
166.99,Debit,Online,18.0,Student,134.0,1.0,299.93,0
465.45,Debit,ATM,36.0,Engineer,129.0,1.0,3465.54,0
555.8,Credit,Branch,19.0,Student,158.0,1.0,1131.26,0
492.93,Debit,Online,39.0,Engineer,234.0,1.0,5109.97,0
18.68,Credit,Branch,59.0,Retired,106.0,1.0,7948.369999999999,1
71.48,Credit,Online,18.0,Student,169.0,1.0,6568.59,0
59.32,Debit,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,1
85.77,Debit,Branch,38.0,Doctor,93.0,1.0,9146.19,1
52.2,Debit,Online,39.0,Engineer,120.0,1.0,8974.93,1
345.84,Debit,Online,22.0,Student,142.0,3.0,1402.5,0
145.54,Debit,Online,21.0,Student,96.0,1.0,1930.96,0
7.49,Credit,Online,65.0,Retired,276.0,1.0,3634.67,1
246.93,Debit,ATM,23.0,Student,158.0,5.0,673.3499999999999,0
40.32,Debit,Branch,37.0,Engineer,95.0,1.0,2686.52,0
127.45,Debit,Online,44.0,Doctor,197.0,1.0,1772.06,0
56.17,Debit,Branch,27.0,Student,283.0,1.0,1351.69,0
28.31,Credit,Online,59.0,Doctor,20.0,1.0,8334.47,1
59.12,Debit,ATM,29.0,Doctor,257.0,1.0,9823.64,1
396.45,Debit,ATM,49.0,Engineer,168.00000000000003,3.0,9690.15,1
877.81,Debit,Online,22.0,Student,150.0,1.0,399.0,0
255.26,Credit,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,1
124.76,Debit,Branch,49.0,Engineer,45.0,1.0,5764.72,1
78.13,Debit,Branch,26.0,Student,145.0,1.0,900.61,0
649.28,Debit,ATM,75.0,Retired,137.0,1.0,4875.86,1
795.31,Debit,ATM,66.0,Doctor,90.0,2.0,7914.879999999999,1
335.63,Debit,Online,55.0,Retired,215.99999999999997,1.0,1019.39,1
328.47,Debit,ATM,63.0,Retired,119.0,1.0,4323.66,1
34.02,Debit,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,1
241.42000000000002,Credit,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,1
55.32,Debit,ATM,19.0,Student,117.0,1.0,241.79000000000002,0
304.31,Debit,Branch,27.0,Student,33.0,1.0,868.61,0
435.27,Debit,Branch,74.0,Retired,90.0,1.0,4673.28,1
164.49,Debit,Branch,26.0,Student,75.0,1.0,1509.27,0
510.23999999999995,Debit,Online,19.0,Student,105.0,1.0,781.7,0
626.9,Debit,Online,26.0,Student,138.0,1.0,265.51,0
22.01,Credit,Online,41.0,Engineer,175.0,1.0,1335.09,0
425.34,Credit,Online,69.0,Retired,121.0,1.0,3907.5399999999995,1
424.56,Debit,Online,51.0,Engineer,264.0,1.0,5183.85,1
85.43,Debit,Branch,67.0,Doctor,145.0,1.0,14904.9,1
169.5,Debit,Branch,28.0,Student,142.0,1.0,918.8799999999999,0
104.63,Debit,ATM,62.0,Retired,90.0,1.0,4477.78,1
316.95,Debit,Branch,25.0,Student,83.0,1.0,1324.03,0
60.540000000000006,Credit,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,1
292.56,Credit,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,1
386.52,Debit,Branch,48.0,Engineer,28.0,1.0,5630.61,1
112.07,Debit,Branch,23.0,Student,51.00000000000001,1.0,930.3,0
568.52,Debit,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,1
263.99,Debit,Branch,79.0,Retired,227.0,2.0,4175.02,1
349.64,Debit,Online,48.0,Engineer,226.0,1.0,6651.62,1
601.4,Credit,Branch,56.0,Engineer,104.0,1.0,8458.29,1
5.77,Debit,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,1
201.33,Credit,Branch,42.0,Engineer,186.0,1.0,2585.07,0
298.42,Debit,Branch,56.0,Retired,225.0,1.0,3014.75,1
521.06,Debit,Branch,25.0,Student,128.0,1.0,1951.42,0
117.28,Credit,Online,60.0,Engineer,16.0,1.0,3665.77,1
189.12,Credit,Branch,32.0,Engineer,103.0,1.0,977.01,0
133.55,Debit,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,1
143.21,Debit,Online,35.0,Engineer,135.0,1.0,6374.82,0
24.77,Debit,ATM,62.0,Retired,55.0,1.0,5866.01,1
233.92,Credit,Online,26.0,Student,280.0,1.0,6537.62,0
1212.51,Debit,Branch,20.0,Student,24.0,1.0,605.9499999999999,0
232.12,Debit,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,1
162.63,Debit,Online,22.0,Student,113.0,1.0,634.17,0
91.53,Debit,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,1
120.29,Debit,Branch,19.0,Student,77.0,1.0,1362.39,0
174.25,Debit,Online,50.0,Doctor,67.0,1.0,10528.34,1
183.71,Debit,ATM,38.0,Engineer,102.0,1.0,552.52,0
345.39,Credit,Online,58.0,Engineer,80.0,1.0,6451.96,1
922.55,Debit,ATM,63.0,Retired,87.0,1.0,4715.84,1
259.91,Debit,Online,49.0,Doctor,170.0,1.0,7176.86,1
154.71,Debit,Online,34.0,Doctor,157.0,1.0,1523.72,0
1340.19,Credit,Online,54.0,Engineer,30.0,1.0,8654.28,1
24.56,Debit,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,1
